,datetime,open,high,low,close
1518,2025-01-18 03:23:00,1.02911,1.02914,1.02876,1.02887
1519,2025-01-18 03:24:00,1.02886,1.02915,1.02883,1.02907
1520,2025-01-18 03:25:00,1.02908,1.02934,1.02905,1.02921
1521,2025-01-18 03:26:00,1.0292,1.02929,1.02904,1.02916
1522,2025-01-18 03:27:00,1.02915,1.02928,1.02909,1.02925
1523,2025-01-18 03:28:00,1.02924,1.02935,1.02916,1.02931
1524,2025-01-18 03:29:00,1.0293,1.02945,1.02926,1.02939
1525,2025-01-18 03:30:00,1.0294,1.0295,1.02927,1.02947
1526,2025-01-18 03:31:00,1.02948,1.02986,1.02945,1.02973
1527,2025-01-18 03:32:00,1.02972,1.02989,1.02967,1.02975
1528,2025-01-18 03:33:00,1.02976,1.03007,1.02973,1.03003
1529,2025-01-18 03:34:00,1.03002,1.03005,1.02987,1.02993
1530,2025-01-18 03:35:00,1.02992,1.03003,1.02984,1.02997
1531,2025-01-18 03:36:00,1.02998,1.03001,1.02967,1.02983
1532,2025-01-18 03:37:00,1.02982,1.02987,1.02967,1.02979
1533,2025-01-18 03:38:00,1.02978,1.02982,1.0296,1.02965
1534,2025-01-18 03:39:00,1.02964,1.02967,1.02931,1.02936
1535,2025-01-18 03:40:00,1.02937,1.02967,1.02934,1.02962
1536,2025-01-18 03:41:00,1.02961,1.02971,1.02948,1.02966
1537,2025-01-18 03:42:00,1.02967,1.03004,1.02959,1.02989
1538,2025-01-18 03:43:00,1.02987,1.02995,1.02978,1.02986
1539,2025-01-18 03:44:00,1.02987,1.03002,1.02984,1.02988
1540,2025-01-18 03:45:00,1.0299,1.02995,1.02972,1.0298
1541,2025-01-18 03:46:00,1.02979,1.02992,1.02972,1.02989
1542,2025-01-18 03:47:00,1.0299,1.02993,1.02969,1.02978
1543,2025-01-18 03:48:00,1.02976,1.02981,1.02966,1.02975
1544,2025-01-18 03:49:00,1.02977,1.02985,1.02949,1.02979
1545,2025-01-18 03:50:00,1.02981,1.02986,1.02952,1.02982
1546,2025-01-18 03:51:00,1.02983,1.02996,1.02971,1.02979
1547,2025-01-18 03:52:00,1.0298,1.02983,1.02949,1.02952
1548,2025-01-18 03:53:00,1.02953,1.02966,1.02943,1.02956
1549,2025-01-18 03:54:00,1.02957,1.02968,1.02918,1.02922
1550,2025-01-18 03:55:00,1.02923,1.02926,1.02882,1.02886
1551,2025-01-18 03:56:00,1.02885,1.02891,1.02875,1.02881
1552,2025-01-18 03:57:00,1.0288,1.0289,1.02817,1.02839
1553,2025-01-18 03:58:00,1.0284,1.02871,1.02837,1.02867
1554,2025-01-18 03:59:00,1.02865,1.02875,1.02856,1.02863
1555,2025-01-18 04:00:00,1.02861,1.02875,1.02858,1.02872
1556,2025-01-18 04:01:00,1.02886,1.02903,1.02879,1.02886
1557,2025-01-18 04:02:00,1.02887,1.02896,1.0286,1.02868
1558,2025-01-18 04:03:00,1.02867,1.02886,1.02863,1.02882
1559,2025-01-18 04:04:00,1.02881,1.02885,1.02849,1.02856
1560,2025-01-18 04:05:00,1.02857,1.02865,1.02839,1.02845
1561,2025-01-18 04:06:00,1.02844,1.02849,1.02822,1.0284
1562,2025-01-18 04:07:00,1.02839,1.02846,1.02824,1.0283
1563,2025-01-18 04:08:00,1.02832,1.02844,1.02821,1.02825
1564,2025-01-18 04:09:00,1.02826,1.02846,1.02822,1.02838
1565,2025-01-18 04:10:00,1.02837,1.02841,1.0281,1.02815
1566,2025-01-18 04:11:00,1.02816,1.02849,1.02813,1.02837
1567,2025-01-18 04:12:00,1.02836,1.02875,1.02833,1.02868
1568,2025-01-18 04:13:00,1.02869,1.02882,1.02864,1.02867
1569,2025-01-18 04:14:00,1.02866,1.02891,1.02863,1.02884
1570,2025-01-18 04:15:00,1.02883,1.029,1.02877,1.02891
1571,2025-01-18 04:16:00,1.0289,1.02912,1.02887,1.02903
1572,2025-01-18 04:17:00,1.02904,1.02914,1.02889,1.02911
1573,2025-01-18 04:18:00,1.02912,1.02915,1.0289,1.02901
1574,2025-01-18 04:19:00,1.02902,1.02906,1.02888,1.02894
1575,2025-01-18 04:20:00,1.02893,1.02896,1.02835,1.02838
1576,2025-01-18 04:21:00,1.02837,1.02845,1.02824,1.02833
1577,2025-01-18 04:22:00,1.02832,1.02843,1.0282,1.02831
1578,2025-01-18 04:23:00,1.02833,1.02839,1.02822,1.02825
1579,2025-01-18 04:24:00,1.02826,1.02846,1.02823,1.02839
1580,2025-01-18 04:25:00,1.02841,1.02863,1.02838,1.0286
1581,2025-01-18 04:26:00,1.02861,1.02866,1.02824,1.02832
1582,2025-01-18 04:27:00,1.02833,1.02853,1.02829,1.02837
1583,2025-01-18 04:28:00,1.02836,1.02848,1.02828,1.02839
1584,2025-01-18 04:29:00,1.02838,1.02843,1.02824,1.02837
1585,2025-01-18 04:30:00,1.02836,1.02864,1.02826,1.02858
1586,2025-01-18 04:31:00,1.0286,1.02876,1.02857,1.02867
1587,2025-01-18 04:32:00,1.02866,1.02875,1.02834,1.02842
1588,2025-01-18 04:33:00,1.0284,1.02847,1.02825,1.02838
1589,2025-01-18 04:34:00,1.02839,1.02858,1.02836,1.02844
1590,2025-01-18 04:35:00,1.02843,1.02846,1.02831,1.02838
1591,2025-01-18 04:36:00,1.02836,1.02843,1.02831,1.02837
1592,2025-01-18 04:37:00,1.02838,1.02845,1.02828,1.02833
1593,2025-01-18 04:38:00,1.02831,1.02865,1.02825,1.02862
1594,2025-01-18 04:39:00,1.02861,1.02875,1.02853,1.0286
1595,2025-01-18 04:40:00,1.02861,1.02864,1.02833,1.02836
1596,2025-01-18 04:41:00,1.02835,1.0284,1.02822,1.02834
1597,2025-01-18 04:42:00,1.02835,1.02839,1.02817,1.0282
1598,2025-01-18 04:43:00,1.02821,1.02824,1.02806,1.02821
1599,2025-01-18 04:44:00,1.0282,1.02832,1.0281,1.02823
1600,2025-01-18 04:45:00,1.02824,1.02838,1.02818,1.02827
1601,2025-01-18 04:46:00,1.02825,1.02834,1.02807,1.02829
1602,2025-01-18 04:47:00,1.0283,1.02844,1.02825,1.02832
1603,2025-01-18 04:48:00,1.02831,1.02841,1.02827,1.02832
1604,2025-01-18 04:49:00,1.02833,1.02837,1.0281,1.02826
1605,2025-01-18 04:50:00,1.02825,1.02835,1.0281,1.02814
1606,2025-01-18 04:51:00,1.02813,1.02817,1.02791,1.02809
